pklt_nm,pklt_knd_nm,lat,lot,addr,자치구,평일운영시간,주말운영시간,운영시간,ev_충전소_500m,ev_등록대수
깨비시장 고객주차장,노외 주차장,37.53608,126.87585,양천구 목동 614-3,양천구,24.0,24.0,24.0,96,3941
꿈나무길 노상공영주차장,노상 주차장,37.5498936,126.86025,강서구 등촌동 709-16,강서구,10.0,6.0,8.857142857142858,32,8009
낙산 공영주차장,노외 주차장,37.57595,127.01313,종로구 창신동 23-343,종로구,24.0,24.0,24.0,58,1896
낙성대 제2공영주차장,노상 주차장,37.484665,126.9484961,관악구 봉천동 220-8,관악구,10.0,7.0,9.142857142857142,211,3005
낙성대제2공영,노상 주차장,37.484665,126.9484961,관악구 봉천동 220-8,관악구,10.0,7.0,9.142857142857142,211,3005
난곡스마트 공영주차장,노외 주차장,37.4868971,126.928177,관악구 신림동 646-172,관악구,24.0,24.0,24.0,16,3005
난지중앙로노상공영주차장,노상 주차장,37.5691472,126.8804551,마포구 상암동 481-94,마포구,13.0,13.0,13.0,2,4083
남가좌2동 제1공영주차장,노외 주차장,37.57744,126.9179,서대문구 남가좌동 64-8,서대문구,12.0,12.0,12.0,450,2799
남가좌2동 제2공영주차장,노외 주차장,37.57744,126.9179,서대문구 남가좌동 3-75,서대문구,12.0,12.0,12.0,450,2799
남부골목 전통시장 고객주차장,노외 주차장,37.54208,126.84656,강서구 화곡동 797-7,강서구,9.5,9.5,9.5,13,8009
남부순환로397길,노상 주차장,37.49882,127.06566,강남구 대치동 600-13,강남구,10.0,24.0,14.0,105,15468
남부여성발전센터 공영주차장,노외 주차장,37.462917,126.905718,금천구 시흥동 139-2,금천구,24.0,24.0,24.0,48,2257
남부초 공영주차장,노외 주차장,37.4868971,126.928177,관악구 신림동 467-0,관악구,24.0,24.0,24.0,16,3005
남부초등학교(지하주차장),노외 주차장,37.4868971,126.928177,관악구 신림동 467-0,관악구,24.0,24.0,24.0,16,3005
남산동 공영주차장,노외 주차장,37.55841,126.98532,중구 남산동2가 30-4,중구,24.0,24.0,24.0,137,2000
남산케이블카 공영주차장,노상 주차장,37.55592104,126.98384264,중구 회현동1가 1-19,중구,12.0,12.0,12.0,114,2000
남산파출소 공영주차장,노상 주차장,37.55489261,126.98190801,중구 회현동1가 1-16,중구,10.0,6.0,8.857142857142858,38,2000
남산파출소공영주차장,노외 주차장,37.55689,126.98138,중구 회현동1가 1-16,중구,10.0,6.0,8.857142857142858,133,2000
남성사계시장공영주차장,노외 주차장,37.4856963,126.9723525,동작구 사당동 139-67,동작구,24.0,24.0,24.0,93,2867
남성역공영주차장,노외 주차장,37.4856963,126.9723525,동작구 사당동 318-12,동작구,24.0,24.0,24.0,93,2867
남현소공원 공영주차장,노외 주차장,37.4715479,126.9764934,관악구 남현동 1063-1,관악구,24.0,24.0,24.0,32,3005
내곡동 (임시) 공영주차장,노외 주차장,37.44505,127.05985,서초구 신원동 80-80,서초구,24.0,24.0,24.0,14,8665
냉천길 공영주차장,노외 주차장,37.628995,127.0257543,강북구 미아동 756-1,강북구,24.0,24.0,24.0,38,1856
노량진역공영주차장,노외 주차장,37.5110101,126.9414634,동작구 노량진동 60-12,동작구,24.0,24.0,24.0,79,2867
노원세무서 앞 공영주차장,노상 주차장,37.64643,127.04326,도봉구 창동 15-0,도봉구,11.0,11.0,11.0,38,2535
논현로22길,노외 주차장,37.48421,127.07006,강남구 개포동 1266-0,강남구,24.0,24.0,24.0,242,15468
논현로28길 노상공영 주차장,노상 주차장,37.4878395,127.0438569,강남구 도곡동 524-0,강남구,10.0,24.0,14.0,126,15468
논현로32길15 공영주차장,노외 주차장,37.4878395,127.0438569,강남구 도곡동 516-2,강남구,24.0,24.0,24.0,126,15468
논현초교 공영주차장,노외 주차장,37.5123018,127.0294935,강남구 논현동 168-0,강남구,24.0,24.0,24.0,51,15468
놀이마당,노외 주차장,37.5122807,127.0855986,송파구 잠실동 47-0,송파구,24.0,24.0,24.0,208,7851
누리 공영주차장,노외 주차장,37.5162407,126.8521196,양천구 신정동 323-13,양천구,10.0,10.0,10.0,130,3941
늘봄주차장,노외 주차장,37.58178,127.09034,중랑구 면목동 22-12,중랑구,24.0,24.0,24.0,105,3158
능골주차장,노외 주차장,37.52782,126.83692,양천구 신월동 152-38,양천구,24.0,24.0,24.0,81,3941
능동공영주차장,노외 주차장,37.55444,127.08156,광진구 능동 205-0,광진구,24.0,24.0,24.0,10,2445
다동공원 제4부지 공영주차장,노외 주차장,37.56749,126.98075,중구 다동 39-3,중구,14.0,13.5,13.857142857142858,280,2000
다락골주차장,노외 주차장,37.5162407,126.8521196,양천구 신정동 1158-1,양천구,24.0,24.0,24.0,130,3941
다목적 공영주차장,노외 주차장,37.468399,126.8979571,금천구 독산동 971-0,금천구,11.0,11.0,11.0,120,2257
