주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
장충단로(한남광장) 관광버스전용 주차장(시),NS,노상 주차장,37.54735334,127.00265619,1,5,24.0,24.0,30,5.0,용산구 한남동 9-19,용산구,2674,0.002099370188943317,1.0,1.0,380,0.05732390215148836,0.9313725490196079,0.6673664567296478,0.49434822558554814,0.5808573411575979
종묘주차장 공영주차장(시),NW,노외 주차장,37.57150398,126.99496888,1,1,24.0,24.0,47,1317.0,종로구 훈정동 2-0,종로구,1896,0.9202239328201539,1.0,1.0,363,0.0,0.8897058823529411,0.973407977606718,0.44485294117647056,0.7091304593915944
진흥로 공영주차장(시),NS,노상 주차장,37.60134935,126.92020205,1,14,9.0,24.0,43,14.0,은평구 역촌동 41-8,은평구,3656,0.00839748075577327,0.0,1.0,367,0.1296787503684055,0.8995098039215687,0.3361324935852577,0.5145942771449871,0.4253633853651224
창동역(서) 공영주차장(시),NW,노외 주차장,37.65237042,127.04567683,1,1,24.0,24.0,209,107.0,도봉구 창동 330-0,도봉구,2535,0.0734779566130161,1.0,1.0,201,0.04708222811671087,0.4926470588235294,0.6911593188710053,0.2698646434701201,0.4805119811705627
천왕역 공영주차장(시),NW,노외 주차장,37.48728845,126.83918316,1,1,24.0,24.0,132,325.0,구로구 오류동 174-10,구로구,3621,0.2260321903428971,1.0,1.0,278,0.12709991158267017,0.6813725490196079,0.742010730114299,0.40423623030113903,0.573123480207719
천호역 공영주차장(시),NW,노외 주차장,37.53849749,127.12512853,1,1,24.0,24.0,161,1431.0,강동구 천호동 455-0,강동구,5653,0.9999999999999999,1.0,1.0,249,0.2768199233716475,0.6102941176470588,1.0,0.44355702050935314,0.7217785102546765
청계1(북) 공영주차장(시),NS,노상 주차장,37.56829844,126.988535675,1,12,10.0,6.0,133,12.0,종로구 관철동 13-14,종로구,1896,0.006997900629811056,0.06666666666666665,0.05263157894736842,277,0.0,0.678921568627451,0.04209871541461537,0.3394607843137255,0.19077974986417043
청계2 공영주차장(시),NS,노상 주차장,37.56882001,126.9933552,3,31,10.0,6.0,48,19.0,,종로구,1896,0.011896431070678795,0.06666666666666665,0.05263157894736842,362,0.0,0.8872549019607843,0.04373155889490462,0.44362745098039214,0.24367950493764837
청계3 공영주차장(시),NS,노상 주차장,37.56903312,126.99929159,5,69,10.0,6.0,71,56.0,,종로구,1896,0.03778866340097971,0.06666666666666665,0.05263157894736842,339,0.0,0.8308823529411764,0.05236230300500492,0.4154411764705882,0.23390173973779657
청계5 공영주차장(시),NS,노상 주차장,37.56951246,127.00563405,6,103,10.0,6.0,96,107.0,,중구,2000,0.0734779566130161,0.06666666666666665,0.05263157894736842,314,0.007662835249042127,0.7696078431372549,0.06425873407568372,0.3886353391931485,0.22644703663441612
청계6 공영주차장(시),NS,노상 주차장,37.56997040500001,127.012650815,4,46,24.0,6.0,117,53.0,,종로구,1896,0.035689293212036385,1.0,0.05263157894736842,293,0.0,0.7181372549019608,0.3627736240531349,0.3590686274509804,0.36092112575205765
