주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
목동체비지 공영주차장(시),NW,노외 주차장,37.53679354,126.8806468,1,1,13.0,13.0,124,55.0,양천구 목동 908-26,양천구,3941,0.037088873337998596,0.2666666666666667,0.4210526315789473,286,0.15067786619510756,0.7009803921568627,0.24160272386120418,0.42582912917598514,0.33371592651859466
문래1동 공영주차장(시),NS,노상 주차장,37.51355189,126.89703007,1,11,10.0,6.0,164,11.0,영등포구 문래동3가 54-12,영등포구,4323,0.006298110566829951,0.06666666666666665,0.05263157894736842,246,0.17882404951370465,0.6029411764705882,0.041865452060288334,0.39088261299214644,0.2163740325262174
방화로 공영주차장(시),NS,노상 주차장,37.55468529,126.81629744,1,59,9.0,24.0,97,65.0,강서구 공항동 796-0,강서구,8009,0.044086773967809655,0.0,1.0,313,0.45041261420571765,0.767156862745098,0.34802892465593654,0.6087847384754078,0.4784068315656722
방화역 공영주차장(시),NW,노외 주차장,37.577437555,126.81274469,2,2,13.0,13.0,181,135.0,,강서구,8009,0.09307207837648705,0.2666666666666667,0.4210526315789473,229,0.45041261420571765,0.5612745098039216,0.260263792207367,0.5058435620048196,0.3830536771060933
배오개길 공영주차장(시),NS,노상 주차장,37.56535114,126.998315985,1,10,10.0,6.0,60,10.0,중구 예관동 22-1,중구,2000,0.005598320503848845,0.06666666666666665,0.05263157894736842,350,0.007662835249042127,0.8578431372549019,0.041632188705961304,0.432752986251972,0.23719258747896665
볕우물 공영주차장(시),NW,노외 주차장,37.55237413,127.13512275,1,1,24.0,24.0,170,97.0,강동구 암사동 473-3,강동구,5653,0.06648005598320504,1.0,1.0,240,0.2768199233716475,0.5882352941176471,0.688826685327735,0.4325276087446473,0.5606771470361912
보라매상업 공영주차장(시),NW,노외 주차장,37.49039184,126.92340595,1,1,12.0,12.0,153,64.0,동작구 신대방동 431-3,동작구,2867,0.04338698390482855,0.20000000000000007,0.3684210526315789,257,0.07154435602711465,0.6299019607843137,0.20393601217880253,0.35072315840571416,0.2773295852922584
복정역 공영주차장(시),NW,노외 주차장,37.47005293,127.1277329,1,1,24.0,24.0,38,362.0,송파구 장지동 600-2,송파구,7851,0.25192442267319803,1.0,1.0,372,0.43877099911582673,0.9117647058823529,0.7506414742243993,0.6752678524990898,0.7129546633617445
봉천복개3 공영주차장(시),NS,노상 주차장,37.48839206,126.93069135,1,59,10.0,6.0,22,59.0,관악구 봉천동 1467-3,관악구,3005,0.03988803358992302,0.06666666666666665,0.05263157894736842,388,0.08171234895372825,0.9509803921568627,0.05306209306798603,0.5163463705552955,0.2847042318116408
사당노외 공영주차장(시),NW,노외 주차장,37.47543791,126.98377372,1,1,24.0,24.0,104,183.0,서초구 방배동 507-1,서초구,8665,0.12666200139958012,1.0,1.0,306,0.4987474211612143,0.75,0.70888733379986,0.6243737105806071,0.6666305221902336
