pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
교통공원길(C) 노상공영주차장,노상 주차장,1.0,500.0,500.0,False,37.5184928,127.1030779,송파구 신천동 7-21
교통광장 공영주차장,노외 주차장,158.0,400.0,400.0,False,37.6575291,127.0089505,강북구 우이동 265-0
구로2동 소공원 공영주차장,노외 주차장,104.0,300.0,300.0,False,37.4945849,126.8845477,구로구 구로동 454-1
구로3동 마을공동주차장,노외 주차장,20.0,100.0,100.0,False,37.4945849,126.8845477,구로구 구로동 797-1
구로3동마을주차장,노외 주차장,20.0,100.0,100.0,False,37.4945849,126.8845477,구로구 구로동 797-1
구로4동 마을공동 주차장,노외 주차장,194.0,200.0,200.0,False,37.4945849,126.8845477,구로구 구로동 741-27
구로5동마을공동주차장,노외 주차장,77.0,200.0,200.0,False,37.4945849,126.8845477,구로구 구로동 549-73
구로구 개봉동 60-95,노외 주차장,7.0,,400.0,True,37.4931629,126.851736,구로구 개봉동 60-95
구로리공원지하주차장,노외 주차장,203.0,300.0,300.0,False,37.4945849,126.8845477,구로구 구로동 139-82
구로미래도서관 공영주차장,노외 주차장,52.0,300.0,300.0,False,37.4945849,126.8845477,구로구 구로동 1-4
구로아트밸리 지하주차장,노외 주차장,243.0,300.0,300.0,False,37.4945849,126.8845477,구로구 구로동 102-0
구룡 공영주차장,노외 주차장,22.0,130.0,130.0,False,37.468399,126.8979571,금천구 독산동 964-0
구룡공영주차빌딩,노외 주차장,107.0,300.0,300.0,False,37.46838,127.0361,서초구 양재동 301-6
구룡공원 공영주차장,노외 주차장,131.0,300.0,300.0,False,37.46838,127.0361,서초구 양재동 399-0
구룡산제1호,노외 주차장,91.0,400.0,400.0,False,37.48421,127.07006,강남구 개포동 567-23
구룡산제2호,노외 주차장,127.0,400.0,400.0,False,37.48421,127.07006,강남구 개포동 126-2
구름다리주차장,노외 주차장,52.0,100.0,100.0,False,37.52782,126.83692,양천구 신월동 915-4
구릉공영 주차장,노외 주차장,20.0,300.0,300.0,False,37.4955756,126.9195788,동작구 신대방동 351-14
구릉주차장,노외 주차장,22.0,300.0,300.0,False,37.4955756,126.9195788,동작구 신대방동 351-14
구산동 마을공원 지하 공동주차장,노외 주차장,37.0,200.0,200.0,False,37.6122812,126.9082658,은평구 구산동 340-1
구산동 마을공원 지하공동주차장,노외 주차장,77.0,,400.0,True,37.6122812,126.9082658,은평구 구산동 340-1
구암길,노상 주차장,1.0,,400.0,True,37.5498936,126.86025,강서구 등촌동 709-16
구의1동 공영주차장,노외 주차장,172.0,400.0,400.0,False,37.54417,127.09262,광진구 구의동 243-78
구의2동 주택가 공영주차장,노외 주차장,90.0,,400.0,True,37.54417,127.09262,광진구 구의동 30-10
구의3동 공영주차장,노외 주차장,159.0,300.0,300.0,False,37.54417,127.09262,광진구 구의동 219-15
구청사주변,노상 주차장,1.0,500.0,500.0,False,37.66727,127.07242,노원구 상계동 739-2
구청앞,노상 주차장,1.0,500.0,500.0,False,37.6352212,127.0090642,강북구 수유동 191-1
구파발역 공영주차장,노외 주차장,399.0,480.0,480.0,False,37.638209,126.918987,은평구 진관동 70-1
국도화학,노상 주차장,1.0,500.0,500.0,False,37.4753253,126.8863954,금천구 가산동 345-26
국민은행앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 15-22
국민일보사옥앞,노상 주차장,3.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 1-2
국민일보사옥앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 12-0
금남시장 공영주차장,노외 주차장,11.0,,400.0,True,37.54998,127.02213,성동구 금호동3가 294-0
기륭전자,노상 주차장,1.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 219-7
길음역환승주차장,노외 주차장,147.0,300.0,300.0,False,37.60444,127.03764,성북구 하월곡동 104-112
까치공원공영주차장,노외 주차장,90.0,200.0,200.0,False,37.58178,127.09034,중랑구 면목동 570-0
까치산 전통시장 고객주차장,노외 주차장,19.0,500.0,500.0,False,37.54208,126.84656,강서구 화곡동 342-16
깨비시장 고객주차장,노외 주차장,54.0,,400.0,True,37.53608,126.87585,양천구 목동 614-3
꿈나무길 노상공영주차장,노상 주차장,1.0,,400.0,True,37.5498936,126.86025,강서구 등촌동 709-16
낙산 공영주차장,노외 주차장,50.0,400.0,400.0,False,37.57595,127.01313,종로구 창신동 23-343
낙성대 제2공영주차장,노상 주차장,1.0,,400.0,True,37.484665,126.9484961,관악구 봉천동 220-8
낙성대제2공영,노상 주차장,1.0,,400.0,True,37.484665,126.9484961,관악구 봉천동 220-8
난곡스마트 공영주차장,노외 주차장,117.0,,400.0,True,37.4868971,126.928177,관악구 신림동 646-172
난지중앙로노상공영주차장,노상 주차장,31.0,300.0,300.0,False,37.5691472,126.8804551,마포구 상암동 481-94
남가좌2동 제1공영주차장,노외 주차장,12.0,300.0,300.0,False,37.57744,126.9179,서대문구 남가좌동 64-8
남가좌2동 제2공영주차장,노외 주차장,12.0,300.0,300.0,False,37.57744,126.9179,서대문구 남가좌동 3-75
남부골목 전통시장 고객주차장,노외 주차장,17.0,500.0,500.0,False,37.54208,126.84656,강서구 화곡동 797-7
남부순환로397길,노상 주차장,1.0,600.0,600.0,False,37.49882,127.06566,강남구 대치동 600-13
