주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수_x,ev_등록대수_y,ev_등록대수
영등포구청역 공영주차장(시),NW,노외 주차장,37.52432737,126.89548892,1,1,24.0,24.0,238,137.0,영등포구 당산동3가 370-3,영등포구,4323,4323,4323
옥수역 공영주차장(시),NS,노상 주차장,37.54226979,127.01695354,1,31,10.0,6.0,304,32.0,성동구 옥수동 401-1,성동구,4331,4331,4331
온수역(남) 공영주차장(시),NS,노상 주차장,37.49185054,126.8241372,1,41,10.0,6.0,35,41.0,구로구 온수동 51-26,구로구,3621,3621,3621
용산주차빌딩 공영주차장(시),NW,노외 주차장,37.53436379,126.96541818,1,1,24.0,24.0,283,561.0,용산구 한강로2가 12-9,용산구,2674,2674,2674
웃우물 공영주차장(시),NW,노외 주차장,37.52379759,126.85141746,1,1,24.0,24.0,67,79.0,양천구 신정동 943-25,양천구,3941,3941,3941
원효대교 남단 공영주차장(시),NS,노상 주차장,37.52234322,126.93684128,1,13,24.0,24.0,77,13.0,영등포구 여의도동 5-0,영등포구,4323,4323,4323
을지로 공영주차장(시),NS,노상 주차장,37.56664646,126.99696895,1,81,10.0,6.0,48,82.0,중구 을지로3가 282-8,중구,2000,2000,2000
일원역 공영주차장(시),NW,노외 주차장,37.48468629,127.08408987,1,1,10.0,6.0,153,67.0,강남구 일원동 716-2,강남구,15468,15468,15468
일원터널 공영주차장(시),NW,노외 주차장,37.48285728,127.07937197,1,1,24.0,24.0,59,11.0,강남구 일원동 722-1,강남구,15468,15468,15468
잠실역 공영주차장(시),NW,노외 주차장,37.51427683,127.10341414,1,1,24.0,24.0,410,357.0,송파구 신천동 27-0,송파구,7851,7851,7851
장안1동 공영주차장(시),NW,노외 주차장,37.56941,127.066994,1,1,24.0,24.0,126,71.0,동대문구 장안동 392-3,동대문구,3021,3021,3021
장안2동 공영주차장(시),NW,노외 주차장,37.5782752,127.07061896,1,1,24.0,24.0,168,80.0,동대문구 장안동 286-9,동대문구,3021,3021,3021
장충단로(한남광장) 관광버스전용 주차장(시),NS,노상 주차장,37.54735334,127.00265619,1,5,24.0,24.0,30,5.0,용산구 한남동 9-19,용산구,2674,2674,2674
종묘주차장 공영주차장(시),NW,노외 주차장,37.57150398,126.99496888,1,1,24.0,24.0,47,1317.0,종로구 훈정동 2-0,종로구,1896,1896,1896
진흥로 공영주차장(시),NS,노상 주차장,37.60134935,126.92020205,1,14,9.0,24.0,43,14.0,은평구 역촌동 41-8,은평구,3656,3656,3656
창동역(서) 공영주차장(시),NW,노외 주차장,37.65237042,127.04567683,1,1,24.0,24.0,209,107.0,도봉구 창동 330-0,도봉구,2535,2535,2535
천왕역 공영주차장(시),NW,노외 주차장,37.48728845,126.83918316,1,1,24.0,24.0,132,325.0,구로구 오류동 174-10,구로구,3621,3621,3621
천호역 공영주차장(시),NW,노외 주차장,37.53849749,127.12512853,1,1,24.0,24.0,161,1431.0,강동구 천호동 455-0,강동구,5653,5653,5653
청계1(북) 공영주차장(시),NS,노상 주차장,37.56829844,126.988535675,1,12,10.0,6.0,133,12.0,종로구 관철동 13-14,종로구,1896,1896,1896
청계2 공영주차장(시),NS,노상 주차장,37.56882001,126.9933552,3,31,10.0,6.0,48,19.0,,종로구,1896,1896,1896
청계3 공영주차장(시),NS,노상 주차장,37.56903312,126.99929159,5,69,10.0,6.0,71,56.0,,종로구,1896,1896,1896
청계5 공영주차장(시),NS,노상 주차장,37.56951246,127.00563405,6,103,10.0,6.0,96,107.0,,중구,2000,1896,2000
청계6 공영주차장(시),NS,노상 주차장,37.56997040500001,127.012650815,4,46,24.0,6.0,117,53.0,,종로구,2000,1896,1896
청계7가 공영주차장(시),NS,노상 주차장,37.57167001,127.01971298,1,39,10.0,6.0,146,42.0,종로구 창신동 436-87,종로구,1896,1896,1896
청계8가 공영주차장(시),NS,노상 주차장,37.570273685,127.02767654,3,112,10.0,6.0,224,10.0,중구 흥인동 162-1 0,중구,2000,2000,2000
탑골공원 관광버스전용 주차장(시),NS,노상 주차장,37.57130525,126.98776441,1,2,24.0,24.0,131,2.0,종로구 종로2가 38-4,종로구,1896,1896,1896
파미에(반포천) 주차장(시),NW,노외 주차장,37.504517,127.007933,1,1,24.0,24.0,407,1186.0,서초구 반포동 118-3,서초구,8665,8665,8665
학여울 공영주차장(시),NW,노외 주차장,37.49705092,127.07239543,1,1,24.0,24.0,48,180.0,강남구 대치동 514-1,강남구,15468,15468,15468
한강진역 공영주차장(시),NW,노외 주차장,37.53952176,127.00257963,1,1,24.0,24.0,62,174.0,용산구 한남동 728-27,용산구,2674,2674,2674
해군본부앞 공영주차장(시),NS,노상 주차장,37.50434092,126.92099226,1,20,10.0,6.0,159,23.0,영등포구 신길동 812-0,영등포구,4323,4323,4323
훈련원공원 공영주차장(시),NW,노외 주차장,37.56740014,127.00352062,1,1,24.0,24.0,87,873.0,중구 을지로5가 40-3,중구,2000,2000,2000
훈련원공원 앞 관광버스 전용 주차장(시),NS,노상 주차장,37.56683225,127.003853,1,2,24.0,24.0,82,3.0,중구 을지로5가 40-2,중구,2000,2000,2000
