행정동코드,연도,월,시간대구분,총생활인구수,월별총인구,시간대비율
11650651,2023,1,19,1596106.1417,39748888.3651,0.040154736581297715
11650651,2023,1,20,1544562.0098,39748888.3651,0.03885799259624438
11650651,2023,1,21,1501783.2795,39748888.3651,0.03778176802596029
11650651,2023,1,22,1465039.0242,39748888.3651,0.0368573583931047
11650651,2023,1,23,1452139.137,39748888.3651,0.03653282385313185
11650651,2023,12,0,1407823.5097999999,39322060.5982,0.035802383913330425
11650651,2023,12,1,1397514.0384,39322060.5982,0.035540203568680026
11650651,2023,12,2,1389088.5911,39322060.5982,0.0353259358733501
11650651,2023,12,3,1381418.8418999999,39322060.5982,0.03513088634941058
11650651,2023,12,4,1383086.1984,39322060.5982,0.03517328892126553
11650651,2023,12,5,1398830.0113,39322060.5982,0.03557367009815433
11650651,2023,12,6,1438749.1284,39322060.5982,0.036588853852329906
11650651,2023,12,7,1543112.4337,39322060.5982,0.039242918866022936
11650651,2023,12,8,1732928.5395,39322060.5982,0.04407013552029687
11650651,2023,12,9,1855476.2321,39322060.5982,0.047186648000459464
11650651,2023,12,10,1904390.7989,39322060.5982,0.04843059519081192
11650651,2023,12,11,1930770.0912,39322060.5982,0.04910144742741133
11650651,2023,12,12,1938840.9895,39322060.5982,0.049306698581018715
11650651,2023,12,13,1942963.6021999998,39322060.5982,0.04941154081556297
11650651,2023,12,14,1925463.7800999999,39322060.5982,0.04896650253847937
11650651,2023,12,15,1896022.7099,39322060.5982,0.04821778617539672
11650651,2023,12,16,1867881.0744,39322060.5982,0.047502115758539465
11650651,2023,12,17,1807762.3900000001,39322060.5982,0.045973236460623124
11650651,2023,12,18,1688552.5803,39322060.5982,0.04294160973795191
11650651,2023,12,19,1596028.3375,39322060.5982,0.0405886241265052
11650651,2023,12,20,1538715.9548,39322060.5982,0.03913111193543189
11650651,2023,12,21,1483249.1096,39322060.5982,0.03772053364029191
11650651,2023,12,22,1434554.6778,39322060.5982,0.036482184706914056
11650651,2023,12,23,1438836.9774,39322060.5982,0.03659108794176122
11650652,2023,1,0,841563.4537,27594842.4436,0.03049712841883544
11650652,2023,1,1,834182.0584,27594842.4436,0.030229636574477695
11650652,2023,1,2,831591.9738,27594842.4436,0.030135775389899682
11650652,2023,1,3,831457.767,27594842.4436,0.03013091191585469
11650652,2023,1,4,837059.934,27594842.4436,0.030333926918076577
11650652,2023,1,5,864849.817,27594842.4436,0.03134099492568701
11650652,2023,1,6,972531.0789,27594842.4436,0.03524321912283854
11650652,2023,1,7,1115777.6798,27594842.4436,0.04043428340207028
11650652,2023,1,8,1269890.3878,27594842.4436,0.04601912079749969
11650652,2023,1,9,1374323.3979,27594842.4436,0.049803632715386036
11650652,2023,1,10,1453342.136,27594842.4436,0.052667165575249364
11650652,2023,1,11,1486454.1135,27594842.4436,0.0538670991341264
11650652,2023,1,12,1493234.1086,27594842.4436,0.05411279704357659
11650652,2023,1,13,1493130.86,27594842.4436,0.05410905545308878
11650652,2023,1,14,1484627.3401,27594842.4436,0.05380089932147178
