연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,log_전력,log_인구
2023,성동구,성수1가제2동,11200660,1,10016.44,19264.16687956989,9.211983022087459,9.866002010839397
2023,성동구,성수1가제2동,11200660,12,8686.424,20477.041955241937,9.069516626087138,9.92705963294239
2023,성동구,성수2가제1동,11200670,1,11044.788,19875.129862634407,9.309713921464484,9.897224473470214
2023,성동구,성수2가제1동,11200670,12,8265.679,19841.126604301076,9.01986716054071,9.895512163717667
2023,성동구,성수2가제3동,11200690,1,32697.655,33462.877690860216,10.395058641775652,10.418191974753636
2023,성동구,성수2가제3동,11200690,12,27904.833,34604.63907002688,10.23655517861405,10.451743029226682
2023,성동구,송정동,11200720,1,3068.281,9643.344415322581,8.02887274890576,9.17402325848799
2023,성동구,송정동,11200720,12,2517.874,9708.887706989248,7.831170173638205,9.18079700343543
2023,성동구,용답동,11200790,1,45183.494,19039.864719892474,10.718487122135818,9.854290203272452
2023,성동구,용답동,11200790,12,41671.297,19543.65817607527,10.63756784944207,9.88040612281713
2023,광진구,화양동,11215710,1,14655.85,38037.00092862904,9.59259485214538,10.546314673609892
2023,광진구,화양동,11215710,12,13094.031,43326.946830107525,9.479911756494797,10.676530049064313
2023,광진구,군자동,11215730,1,8358.405,19762.59480658602,9.031022898402437,9.891546278803427
2023,광진구,군자동,11215730,12,7375.982,24660.67230967742,8.905984324886381,10.112965039512858
2023,광진구,중곡제1동,11215740,1,5103.312,15540.413677150538,8.537645019700552,9.651199243718585
2023,광진구,중곡제1동,11215740,12,4267.979,15504.287481720428,8.358895692072144,9.648871876381268
2023,광진구,중곡제2동,11215750,1,5392.232,18239.10930591398,8.592714678372753,9.811323430523395
2023,광진구,중곡제2동,11215750,12,4493.494,18905.661144623657,8.41038585183549,9.84721668765871
2023,광진구,중곡제3동,11215760,1,5352.117,15504.665553629033,8.585247462555664,9.648896261074823
2023,광진구,중곡제3동,11215760,12,4623.707,15307.964018145161,8.43895204329266,9.636128496016646
2023,광진구,중곡제4동,11215770,1,6195.574,25076.254790994622,8.731590445138231,10.129676653093341
2023,광진구,중곡제4동,11215770,12,5392.278,24219.328959811828,8.592723209126584,10.094906310687419
2023,광진구,능동,11215780,1,4734.853,14525.685846774193,8.462705959731712,9.583673798971914
2023,광진구,능동,11215780,12,3945.369,14853.734725268818,8.280297765027417,9.606006609261962
2023,광진구,광장동,11215810,1,11887.292,34594.280425268815,9.383225209329376,10.451443641753265
2023,광진구,광장동,11215810,12,10984.434,34804.57900336021,9.304234458684707,10.457504237662931
2023,광진구,자양제1동,11215820,1,6226.444,24241.088510887097,8.736560662304008,10.095804344739676
2023,광진구,자양제1동,11215820,12,5284.129,25205.087430913976,8.572463078667456,10.134801135303176
2023,광진구,자양제2동,11215830,1,7633.133,21291.790540860216,8.940253655988343,9.966076856787009
2023,광진구,자양제2동,11215830,12,7343.437,21568.05278924731,8.901562268141662,9.978968461281706
2023,광진구,자양제3동,11215840,1,9958.401,22643.452331854838,9.206171795521696,10.027626008848115
2023,광진구,자양제3동,11215840,12,8606.189,25096.69006922043,9.06023687457966,10.13049124667212
2023,광진구,자양제4동,11215847,1,7070.522,25212.082194489245,8.863689589262686,10.135078610761322
2023,광진구,자양제4동,11215847,12,5932.388,28712.382463978494,8.68818210907566,10.26508375344012
2023,광진구,구의제1동,11215850,1,6326.146,24613.298919489247,8.752446482954312,10.111042182328715
2023,광진구,구의제1동,11215850,12,5475.627,23195.08466438172,8.60806206867567,10.051695667292643
2023,광진구,구의제2동,11215860,1,8139.78,21233.808403091396,9.004518431604323,9.963349926413821
2023,광진구,구의제2동,11215860,12,7270.706,20146.600331317204,8.891608677229337,9.910790835091564
2023,광진구,구의제3동,11215870,1,11095.556,31184.693743951615,9.314299946774458,10.347682668291561
2023,광진구,구의제3동,11215870,12,9915.274,31015.069370026882,9.20183167546868,10.342228474065264
2023,동대문구,용신동,11230536,1,18053.782,40018.43785752688,9.801110470898747,10.597095573331071
2023,동대문구,용신동,11230536,12,14891.846,42887.036841935485,9.608569093816387,10.666324887736442
2023,동대문구,제기동,11230545,1,10676.239,31152.728053360217,9.275775896935508,10.346657098337863
2023,동대문구,제기동,11230545,12,8840.937,31995.10944126344,9.087148145489678,10.373338340141657
2023,동대문구,전농제1동,11230560,1,10494.749,30128.16707795699,9.25863031581819,10.313215796485546
2023,동대문구,전농제1동,11230560,12,9134.117,33716.40425698925,9.1197718029469,10.425739771109239
2023,동대문구,전농제2동,11230570,1,4341.655,15559.51047889785,8.376010890809733,9.652427337012426
