연도,자치구명,행정동명,행정동코드,월,전력사용량,시간대구분,시간대비율,추정전력
2023,서대문구,신촌동,11410585,12,36484.031,20,0.04290036735170581,1565.1783323710229
2023,서대문구,신촌동,11410585,12,36484.031,21,0.03995406042963947,1457.6851792908399
2023,서대문구,신촌동,11410585,12,36484.031,22,0.03619065726044366,1320.3810614004017
2023,서대문구,신촌동,11410585,12,36484.031,23,0.032289414876436044,1178.0480133237538
2023,서대문구,연희동,11410615,1,11627.372,0,0.04387963608658619,510.2048520033618
2023,서대문구,연희동,11410615,1,11627.372,1,0.04364556260141639,507.48319251595603
2023,서대문구,연희동,11410615,1,11627.372,2,0.04370579411347137,508.1835267127418
2023,서대문구,연희동,11410615,1,11627.372,3,0.04355871795831893,506.47341754445466
2023,서대문구,연희동,11410615,1,11627.372,4,0.043632992765116,507.3370383533123
2023,서대문구,연희동,11410615,1,11627.372,5,0.04357658247718143,506.68113495086993
2023,서대문구,연희동,11410615,1,11627.372,6,0.0436477358994765,507.50846226096786
2023,서대문구,연희동,11410615,1,11627.372,7,0.04418949142163828,513.8076552501971
2023,서대문구,연희동,11410615,1,11627.372,8,0.042934901994136423,499.220077269366
2023,서대문구,연희동,11410615,1,11627.372,9,0.04207294063515903,489.1977318989103
2023,서대문구,연희동,11410615,1,11627.372,10,0.04147522289086945,482.2478453350544
2023,서대문구,연희동,11410615,1,11627.372,11,0.04133157734863102,480.57762517930655
2023,서대문구,연희동,11410615,1,11627.372,12,0.041113383849105525,478.0406081923418
2023,서대문구,연희동,11410615,1,11627.372,13,0.040561017705255276,471.61804155758944
2023,서대문구,연희동,11410615,1,11627.372,14,0.04043587803682757,470.16299608082386
2023,서대문구,연희동,11410615,1,11627.372,15,0.03967339634647149,461.2973378238649
2023,서대문구,연희동,11410615,1,11627.372,16,0.03949521568657104,459.2255650079969
2023,서대문구,연희동,11410615,1,11627.372,17,0.039447516021987546,458.67094326360933
2023,서대문구,연희동,11410615,1,11627.372,18,0.03926512117543486,456.5501705318584
2023,서대문구,연희동,11410615,1,11627.372,19,0.039223362123618766,456.0646225020254
2023,서대문구,연희동,11410615,1,11627.372,20,0.039319807344901814,457.18602696750565
2023,서대문구,연희동,11410615,1,11627.372,21,0.03967935807385004,461.3666570458579
2023,서대문구,연희동,11410615,1,11627.372,22,0.040525528935862545,471.2054004340379
2023,서대문구,연희동,11410615,1,11627.372,23,0.04360925850811253,507.0610713179894
2023,서대문구,연희동,11410615,12,9709.099,0,0.04399780972288976,427.17909038269926
2023,서대문구,연희동,11410615,12,9709.099,1,0.04428417885192097,429.95947660700705
2023,서대문구,연희동,11410615,12,9709.099,2,0.04462133626495756,433.2329713087632
2023,서대문구,연희동,11410615,12,9709.099,3,0.04492279381091003,436.1598524667128
2023,서대문구,연희동,11410615,12,9709.099,4,0.04506402397523807,437.53107011396
2023,서대문구,연희동,11410615,12,9709.099,5,0.044966637652628684,436.58553666649954
2023,서대문구,연희동,11410615,12,9709.099,6,0.04486404650146731,435.58946902334975
2023,서대문구,연희동,11410615,12,9709.099,7,0.04481876061706467,435.149783888382
2023,서대문구,연희동,11410615,12,9709.099,8,0.04337315196143784,421.11422633564416
2023,서대문구,연희동,11410615,12,9709.099,9,0.042315338545811015,410.84381115979517
2023,서대문구,연희동,11410615,12,9709.099,10,0.041364346776728705,401.6105379255899
2023,서대문구,연희동,11410615,12,9709.099,11,0.041028236931892934,398.34721416720475
2023,서대문구,연희동,11410615,12,9709.099,12,0.04063853497788068,394.56355931520636
2023,서대문구,연희동,11410615,12,9709.099,13,0.039947910513925995,387.85821802284835
2023,서대문구,연희동,11410615,12,9709.099,14,0.039728730846290056,385.7301809309839
2023,서대문구,연희동,11410615,12,9709.099,15,0.03918672692764707,380.4678112264912
2023,서대문구,연희동,11410615,12,9709.099,16,0.038878795238403575,377.4780719703889
2023,서대문구,연희동,11410615,12,9709.099,17,0.038648136430784644,375.23858277199474
2023,서대문구,연희동,11410615,12,9709.099,18,0.03843501926465941,373.1694071074854
2023,서대문구,연희동,11410615,12,9709.099,19,0.038465368709988776,373.46407287678335
2023,서대문구,연희동,11410615,12,9709.099,20,0.03855435403489044,374.32804020580073
2023,서대문구,연희동,11410615,12,9709.099,21,0.03892769534236415,377.95284792085243
2023,서대문구,연희동,11410615,12,9709.099,22,0.03981891324421806,386.6057707605243
2023,서대문구,연희동,11410615,12,9709.099,23,0.04314915285599963,418.9393968450331
2023,서대문구,홍제제1동,11410620,1,5268.911,0,0.04565266773258005,240.5398431955361
2023,서대문구,홍제제1동,11410620,1,5268.911,1,0.045810257272359434,241.37016845516462
2023,서대문구,홍제제1동,11410620,1,5268.911,2,0.04599719762954623,242.35514055949005
2023,서대문구,홍제제1동,11410620,1,5268.911,3,0.046400325822815974,244.47918713141914
2023,서대문구,홍제제1동,11410620,1,5268.911,4,0.04680270262277733,246.59927467888033
2023,서대문구,홍제제1동,11410620,1,5268.911,5,0.04640300327569029,244.4932943923206
2023,서대문구,홍제제1동,11410620,1,5268.911,6,0.04567049145954801,240.63375482661857
2023,서대문구,홍제제1동,11410620,1,5268.911,7,0.0444077633206316,233.98055264547236
2023,서대문구,홍제제1동,11410620,1,5268.911,8,0.04154081721187997,218.87486875666372
2023,서대문구,홍제제1동,11410620,1,5268.911,9,0.039566084233006275,208.47017644221333
2023,서대문구,홍제제1동,11410620,1,5268.911,10,0.038435854315692276,202.51509559834852
2023,서대문구,홍제제1동,11410620,1,5268.911,11,0.03766699802060116,198.4640602077237
2023,서대문구,홍제제1동,11410620,1,5268.911,12,0.037006563338737954,194.98428864767314
2023,서대문구,홍제제1동,11410620,1,5268.911,13,0.03642685839073987,191.9298748704116
2023,서대문구,홍제제1동,11410620,1,5268.911,14,0.03638765224070398,191.72330115521984
2023,서대문구,홍제제1동,11410620,1,5268.911,15,0.036615315285384344,192.9228374756297
2023,서대문구,홍제제1동,11410620,1,5268.911,16,0.03701029781956036,195.00396529475762
2023,서대문구,홍제제1동,11410620,1,5268.911,17,0.03768508943419347,198.55938225580576
2023,서대문구,홍제제1동,11410620,1,5268.911,18,0.03921309301038201,206.6102971064249
2023,서대문구,홍제제1동,11410620,1,5268.911,19,0.040806164069582825,215.0040467340297
2023,서대문구,홍제제1동,11410620,1,5268.911,20,0.04171678161017825,219.8020095104659
2023,서대문구,홍제제1동,11410620,1,5268.911,21,0.04281698589093084,225.5988879475703
2023,서대문구,홍제제1동,11410620,1,5268.911,22,0.044251784755102636,233.1587154657926
2023,서대문구,홍제제1동,11410620,1,5268.911,23,0.045709251237374786,240.83797664636762
2023,서대문구,홍제제1동,11410620,12,4684.877,0,0.0459322817279798,215.18709022493283
2023,서대문구,홍제제1동,11410620,12,4684.877,1,0.045943412977135036,215.23923875808148
2023,서대문구,홍제제1동,11410620,12,4684.877,2,0.04612845298252855,216.10612842342942
2023,서대문구,홍제제1동,11410620,12,4684.877,3,0.04629732663175904,216.89728069861542
2023,서대문구,홍제제1동,11410620,12,4684.877,4,0.046536146724985565,218.01612346051022
2023,서대문구,홍제제1동,11410620,12,4684.877,5,0.04629685167759043,216.89505559675484
2023,서대문구,홍제제1동,11410620,12,4684.877,6,0.045794019199182634,214.53934728380915
2023,서대문구,홍제제1동,11410620,12,4684.877,7,0.044321744752756895,207.6419225920615
2023,서대문구,홍제제1동,11410620,12,4684.877,8,0.041213955649917214,193.08231290331722
2023,서대문구,홍제제1동,11410620,12,4684.877,9,0.03921057423160388,183.69671737443372
2023,서대문구,홍제제1동,11410620,12,4684.877,10,0.038222418077341884,179.06732733492322
2023,서대문구,홍제제1동,11410620,12,4684.877,11,0.03741808432597319,175.2991226428123
2023,서대문구,홍제제1동,11410620,12,4684.877,12,0.036745311462165836,172.1472645269371
2023,서대문구,홍제제1동,11410620,12,4684.877,13,0.03632601490238538,170.18291171784253
