행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11230750,동대문구,이문제2동,3681.0240555555556,13511.527846572553,0.272825331836312,중간
11260520,중랑구,면목제2동,5424.566888888889,19718.34574588471,0.27553480638496197,중간
11260540,중랑구,면목제4동,3364.1685555555555,16174.756200807946,0.20889325380840282,잉여가능
11260550,중랑구,면목제5동,3324.9015833333333,11473.313570543112,0.2899405023717778,중간
11260565,중랑구,면목본동,7111.681138888889,26716.676351608985,0.26626917718383725,중간
11260570,중랑구,면목제7동,4916.8635,16919.801269035714,0.291825269839359,중간
11260575,중랑구,면목제3.8동,6270.927638888888,20208.873647100416,0.3107984377223812,중간
11260580,중랑구,상봉제1동,5258.40375,16787.91224082726,0.31413328073958285,중간
11260590,중랑구,상봉제2동,8077.168861111112,25385.39020956029,0.3183401005870346,중간
11260600,중랑구,중화제1동,3465.4624444444444,15597.841146403794,0.2229804405334613,잉여가능
11260610,중랑구,중화제2동,5733.970694444444,24805.083914068262,0.23155389753970368,잉여가능
11260620,중랑구,묵제1동,6756.70511111111,25148.744971710705,0.26892509236166723,중간
11260630,중랑구,묵제2동,3936.788083333333,18317.70442451177,0.2153549720472551,잉여가능
11260655,중랑구,망우본동,10360.700333333334,40013.86712293404,0.25906537032418614,중간
11260660,중랑구,망우제3동,3274.311944444444,11045.064203749638,0.29736647158433316,중간
11260680,중랑구,신내1동,10179.724222222221,33756.494091338645,0.3019167867135122,중간
11260690,중랑구,신내2동,3701.7941944444447,16368.432020788181,0.22696230057428193,잉여가능
11290525,성북구,성북동,5394.262166666666,20506.37136743124,0.2643245452168903,중간
11290555,성북구,삼선동,6246.815194444444,25778.39485070048,0.2431931355677975,잉여가능
11290575,성북구,동선동,7726.205583333333,24848.84287723194,0.31279467573790004,중간
11290580,성북구,돈암제1동,2556.1007222222224,11976.591165879749,0.21466647557582663,잉여가능
11290590,성북구,돈암제2동,4042.065472222222,13632.665009495962,0.2963544657554398,중간
11290600,성북구,안암동,14779.445277777779,26061.369684465215,0.5800539013716042,수요집중
11290610,성북구,보문동,4102.924027777778,15708.39223248097,0.26180788346332273,중간
11290620,성북구,정릉제1동,3152.069888888889,13481.003206591859,0.23432229371535065,잉여가능
11290630,성북구,정릉제2동,4549.704583333333,19256.974834558656,0.2362204230446659,잉여가능
11290640,성북구,정릉제3동,5832.028277777778,16239.661250525523,0.36901966829098143,수요집중
11290650,성북구,정릉제4동,5431.361388888889,18129.82907062837,0.2999651919855657,중간
11290660,성북구,길음제1동,7118.961194444444,35150.55209574183,0.20271414549702188,잉여가능
11290685,성북구,길음제2동,7532.131888888889,18822.664052697495,0.40025461517794914,수요집중
11290705,성북구,종암동,8127.943361111112,37939.012832802335,0.21465798332422398,잉여가능
11290715,성북구,월곡제1동,5681.3205,25795.299141207663,0.22155453170612038,잉여가능
11290725,성북구,월곡제2동,9085.75161111111,22337.503737807656,0.4079592470655776,수요집중
11290760,성북구,장위제1동,4203.407111111111,21340.41709899226,0.19727676663020588,잉여가능
11290770,성북구,장위제2동,3100.6656666666663,11436.487617868992,0.2727117323577357,중간
11290780,성북구,장위제3동,2517.5873055555553,8007.238945752077,0.31666041314168686,중간
11290810,성북구,석관동,7977.6539999999995,26831.558071221803,0.2977863016297065,중간
11305534,강북구,삼양동,4149.873416666666,22160.298747749108,0.18721313185762653,잉여가능
11305535,강북구,미아동,7418.299888888888,22415.403134038377,0.33187452777024734,수요집중
11305545,강북구,송중동,8515.154694444445,34407.4801188515,0.2476295948466404,잉여가능
11305555,강북구,송천동,6612.275027777778,25850.147784798013,0.25610890060360275,중간
11305575,강북구,삼각산동,2723.3493888888893,19919.945864828413,0.13720821955992066,잉여가능
11305590,강북구,번1동,6096.325111111111,17788.94264839582,0.3432346617500589,수요집중
11305600,강북구,번2동,2996.2988333333333,11430.622349333133,0.26349972399850324,중간
11305606,강북구,번3동,3339.405083333333,14365.28822018499,0.23224200206608478,잉여가능
11305610,강북구,수유1동,5126.544222222223,16267.520359877488,0.31575616116431887,중간
11305620,강북구,수유2동,4325.816916666667,17144.00937734675,0.2524544950922102,중간
