연도,자치구명,행정동명,행정동코드,월,전력사용량
2025,종로구,사직동,11110530,1,22200.98
2025,종로구,사직동,11110530,2,21860.462
2025,종로구,사직동,11110530,3,18957.076
2025,종로구,사직동,11110530,4,18253.308
2025,종로구,사직동,11110530,5,17838.485
2025,종로구,사직동,11110530,6,0.0
2025,종로구,사직동,11110530,7,0.0
2025,종로구,사직동,11110530,8,0.0
2025,종로구,사직동,11110530,9,0.0
2025,종로구,사직동,11110530,10,0.0
2025,종로구,사직동,11110530,11,0.0
2025,종로구,사직동,11110530,12,0.0
2018,종로구,삼청동,11110540,1,3496.065
2018,종로구,삼청동,11110540,2,3520.528
2018,종로구,삼청동,11110540,3,2535.819
2018,종로구,삼청동,11110540,4,2175.813
2018,종로구,삼청동,11110540,5,2009.028
2018,종로구,삼청동,11110540,6,2394.343
2018,종로구,삼청동,11110540,7,2813.046
2018,종로구,삼청동,11110540,8,3615.286
2018,종로구,삼청동,11110540,9,2775.496
2018,종로구,삼청동,11110540,10,1969.514
2018,종로구,삼청동,11110540,11,2194.595
2018,종로구,삼청동,11110540,12,2796.38
2019,종로구,삼청동,11110540,1,3301.556
2019,종로구,삼청동,11110540,2,3036.754
2019,종로구,삼청동,11110540,3,2437.945
2019,종로구,삼청동,11110540,4,2300.348
2019,종로구,삼청동,11110540,5,2086.461
2019,종로구,삼청동,11110540,6,2289.955
2019,종로구,삼청동,11110540,7,2688.961
2019,종로구,삼청동,11110540,8,3225.351
2019,종로구,삼청동,11110540,9,2742.209
2019,종로구,삼청동,11110540,10,2123.532
2019,종로구,삼청동,11110540,11,2181.192
2019,종로구,삼청동,11110540,12,2812.438
2020,종로구,삼청동,11110540,1,3067.522
2020,종로구,삼청동,11110540,2,2831.439
2020,종로구,삼청동,11110540,3,2254.099
2020,종로구,삼청동,11110540,4,1933.229
2020,종로구,삼청동,11110540,5,1802.756
2020,종로구,삼청동,11110540,6,2161.403
2020,종로구,삼청동,11110540,7,2568.098
2020,종로구,삼청동,11110540,8,2841.047
2020,종로구,삼청동,11110540,9,2147.348
2020,종로구,삼청동,11110540,10,1885.705
2020,종로구,삼청동,11110540,11,2132.844
2020,종로구,삼청동,11110540,12,2635.717
2021,종로구,삼청동,11110540,1,3174.985
2021,종로구,삼청동,11110540,2,3009.95
2021,종로구,삼청동,11110540,3,2315.805
2021,종로구,삼청동,11110540,4,2060.651
2021,종로구,삼청동,11110540,5,1943.545
2021,종로구,삼청동,11110540,6,2327.969
2021,종로구,삼청동,11110540,7,2871.897
2021,종로구,삼청동,11110540,8,3246.189
2021,종로구,삼청동,11110540,9,2727.419
2021,종로구,삼청동,11110540,10,2246.144
2021,종로구,삼청동,11110540,11,2341.855
2021,종로구,삼청동,11110540,12,2842.586
2022,종로구,삼청동,11110540,1,3471.788
2022,종로구,삼청동,11110540,2,3315.62
2022,종로구,삼청동,11110540,3,2645.59
2022,종로구,삼청동,11110540,4,2287.999
2022,종로구,삼청동,11110540,5,2113.312
2022,종로구,삼청동,11110540,6,2496.863
2022,종로구,삼청동,11110540,7,3162.079
2022,종로구,삼청동,11110540,8,3518.035
2022,종로구,삼청동,11110540,9,2948.332
2022,종로구,삼청동,11110540,10,2343.264
2022,종로구,삼청동,11110540,11,2317.987
2022,종로구,삼청동,11110540,12,3134.998
2023,종로구,삼청동,11110540,1,3744.579
2023,종로구,삼청동,11110540,2,3459.692
2023,종로구,삼청동,11110540,3,2583.23
2023,종로구,삼청동,11110540,4,2291.793
2023,종로구,삼청동,11110540,5,2213.147
2023,종로구,삼청동,11110540,6,2790.481
2023,종로구,삼청동,11110540,7,3408.123
2023,종로구,삼청동,11110540,8,3889.075
2023,종로구,삼청동,11110540,9,3508.191
2023,종로구,삼청동,11110540,10,2485.646
2023,종로구,삼청동,11110540,11,2496.084
2023,종로구,삼청동,11110540,12,3141.94
2024,종로구,삼청동,11110540,1,3632.461
2024,종로구,삼청동,11110540,2,3364.549
2024,종로구,삼청동,11110540,3,2821.399
2024,종로구,삼청동,11110540,4,2441.797
2024,종로구,삼청동,11110540,5,2292.514
2024,종로구,삼청동,11110540,6,2875.016
2024,종로구,삼청동,11110540,7,3485.568
2024,종로구,삼청동,11110540,8,4164.951
2024,종로구,삼청동,11110540,9,3873.87
2024,종로구,삼청동,11110540,10,2796.77
2024,종로구,삼청동,11110540,11,2521.069
2024,종로구,삼청동,11110540,12,3204.537
2025,종로구,삼청동,11110540,1,3767.115
2025,종로구,삼청동,11110540,2,3709.068
2025,종로구,삼청동,11110540,3,2973.677
2025,종로구,삼청동,11110540,4,2579.628
2025,종로구,삼청동,11110540,5,2482.301
2025,종로구,삼청동,11110540,6,0.0
2025,종로구,삼청동,11110540,7,0.0
2025,종로구,삼청동,11110540,8,0.0
2025,종로구,삼청동,11110540,9,0.0
2025,종로구,삼청동,11110540,10,0.0
2025,종로구,삼청동,11110540,11,0.0
2025,종로구,삼청동,11110540,12,0.0
2018,종로구,부암동,11110550,1,3702.95
2018,종로구,부암동,11110550,2,3810.113
2018,종로구,부암동,11110550,3,2988.855
