행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11170570,용산구,원효로제2동,18123.384916666666,15440.097440520927,1.1848679446790784,수요집중
11170580,용산구,효창동,1858.394875,9302.478707855713,0.20034976131439086,잉여가능
11170590,용산구,용문동,2239.06225,8399.715145705959,0.26706194281703133,중간
11170625,용산구,한강로동,31840.554999999997,51446.30471641488,0.6191201884977863,수요집중
11170630,용산구,이촌제1동,5455.610125,24578.89761704658,0.22230648837409406,잉여가능
11170640,용산구,이촌제2동,1390.9461250000002,8014.496852917803,0.1740593132812577,잉여가능
11170650,용산구,이태원제1동,5153.823416666667,11368.33899636179,0.4532773682342044,수요집중
11170660,용산구,이태원제2동,2742.3483333333334,10991.151150555881,0.24999699802178688,잉여가능
11170685,용산구,한남동,15879.654166666667,29659.74691146887,0.5378810365868772,수요집중
11170690,용산구,서빙고동,4232.493875,14747.140610016218,0.2871764704188485,중간
11170700,용산구,보광동,2377.2488333333336,9293.788188078988,0.2556060487352903,중간
11200520,성동구,왕십리제2동,3399.0712083333333,14328.39937762086,0.23745425549664026,잉여가능
11200535,성동구,왕십리도선동,9116.688041666666,28735.391099442622,0.3174342483701809,중간
11200540,성동구,마장동,10567.537125,20474.366012225575,0.5174538022385847,수요집중
11200550,성동구,사근동,10872.523541666667,24427.333196474166,0.4543886405785525,수요집중
11200560,성동구,행당제1동,5573.373833333334,25262.394792173207,0.22165964420649278,잉여가능
11200570,성동구,행당제2동,3739.983666666667,18224.946160209973,0.2052321338243822,잉여가능
11200580,성동구,응봉동,2260.198125,10394.027080388325,0.21737753284178093,잉여가능
11200590,성동구,금호1가동,3855.8537083333335,13967.287325284633,0.27623370078313186,중간
11200615,성동구,금호2.3가동,4377.900666666666,20215.16143022852,0.21650343319015616,잉여가능
11200620,성동구,금호4가동,3226.7547083333334,12246.117011099961,0.26456368136066927,중간
11200645,성동구,옥수동,5792.761625,26371.170372316312,0.21987814909517098,잉여가능
11200650,성동구,성수1가제1동,7035.71975,18533.775819928556,0.3800114464059909,수요집중
11200660,성동구,성수1가제2동,8161.7146250000005,20336.862731882276,0.40246367696256696,수요집중
11200670,성동구,성수2가제1동,8177.616625,19177.350047940192,0.42649707224724426,수요집중
11200690,성동구,성수2가제3동,26950.726208333333,34694.27498409829,0.7781958708685877,수요집중
11200720,성동구,송정동,2586.4102916666666,9531.473484410564,0.27165679577290697,중간
11200790,성동구,용답동,42904.833041666665,19305.12750474735,2.23000046526302,수요집중
11215710,광진구,화양동,13387.347500000002,41015.560287078704,0.328826515763227,수요집중
11215730,광진구,군자동,7292.721166666666,23140.516572082925,0.3189073919188024,중간
