연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,전력효율지표
2024,강북구,번3동,11305606,3,3085.288,14098.06547983871,0.2188447772789957
2024,강북구,번3동,11305606,4,2906.109,13997.008133194446,0.20762358443645182
2024,강북구,번3동,11305606,5,2698.971,13632.879603629033,0.19797512179903223
2024,강북구,번3동,11305606,6,3045.953,13471.320579861112,0.22610648911091413
2024,강북구,번3동,11305606,7,3550.15,14042.08696532258,0.2528221060564016
2024,강북구,번3동,11305606,8,4641.554,14615.190941129033,0.3175842189607026
2024,강북구,번3동,11305606,9,4179.974,14577.396228611113,0.2867435263779103
2024,강북구,번3동,11305606,10,2881.952,14458.809409677418,0.19932152906525502
2024,강북구,번3동,11305606,11,2856.167,14169.328511388889,0.20157391352062287
2024,강북구,번3동,11305606,12,3249.345,14137.289319892474,0.22984215194831378
2025,강북구,번3동,11305606,1,3733.019,14776.636737231183,0.2526298146447827
2025,강북구,번3동,11305606,2,3721.714,14437.781641964286,0.25777602766775565
2025,강북구,번3동,11305606,3,3056.526,14142.177369354838,0.21612838816625857
2025,강북구,번3동,11305606,4,2972.594,13915.895461805556,0.21361140633448772
2025,강북구,번3동,11305606,5,2708.664,13834.224150940861,0.1957944276778098
2022,강북구,수유1동,11305610,6,4566.22,18313.563549583334,0.24933541676021267
2022,강북구,수유1동,11305610,7,5527.235,17275.249969623655,0.31995108665396704
2022,강북구,수유1동,11305610,8,6432.095,16857.448187365593,0.38155804653878517
2022,강북구,수유1동,11305610,9,5479.389,17027.839351944443,0.32179003376457727
2022,강북구,수유1동,11305610,10,4524.42,16869.981215053765,0.26819354107891225
2022,강북구,수유1동,11305610,11,4474.712,16701.91854680556,0.26791604733672003
2022,강북구,수유1동,11305610,12,4989.499,16891.658612231182,0.2953824200772755
2023,강북구,수유1동,11305610,1,6112.016,16968.489081182794,0.3601980100148056
2023,강북구,수유1동,11305610,2,5666.143,16558.95083497024,0.3421800726670364
2023,강북구,수유1동,11305610,3,4633.847,16747.297240053766,0.2766922288163271
2023,강북구,수유1동,11305610,4,4522.563,16538.55636361111,0.2734557297849013
2023,강북구,수유1동,11305610,5,4216.351,16491.274507392474,0.25567162793330217
2023,강북구,수유1동,11305610,6,4596.951,16441.195521527778,0.27959955795068814
2023,강북구,수유1동,11305610,7,5478.18,16536.575784677418,0.3312765636206265
2023,강북구,수유1동,11305610,8,6570.511,16696.10649166667,0.3935355229843234
2023,강북구,수유1동,11305610,9,5997.793,17001.127157222225,0.3527879619118128
2023,강북구,수유1동,11305610,10,4559.5,16701.63783266129,0.27299717822186037
2023,강북구,수유1동,11305610,11,4409.938,16670.87927138889,0.2645294185273407
2023,강북구,수유1동,11305610,12,5037.374,16992.377329569892,0.29644904313853915
2024,강북구,수유1동,11305610,1,5695.159,16903.368670833333,0.3369244977675346
2024,강북구,수유1동,11305610,2,5412.047,16946.768544971263,0.31935569224528976
2024,강북구,수유1동,11305610,3,4682.139,17304.24975456989,0.27057740534307134
2024,강북구,수유1동,11305610,4,4536.483,15857.170017916667,0.2860840234968994
2024,강북구,수유1동,11305610,5,4058.939,15278.497540860215,0.26566349139664636
2024,강북구,수유1동,11305610,6,4514.185,15635.50291486111,0.28871377048635855
2024,강북구,수유1동,11305610,7,5413.743,15577.947093145161,0.3475260872071029
2024,강북구,수유1동,11305610,8,6670.166,15828.234222311827,0.42140935661651935
2024,강북구,수유1동,11305610,9,6625.448,15776.62110263889,0.41995354752430414
2024,강북구,수유1동,11305610,10,4847.423,15332.120243817204,0.31616129556215555
2024,강북구,수유1동,11305610,11,4323.295,14838.41937888889,0.29135818914451866
2024,강북구,수유1동,11305610,12,4925.977,14840.43595094086,0.3319293999370484
2025,강북구,수유1동,11305610,1,5680.259,14856.059013037635,0.38235301805243377
2025,강북구,수유1동,11305610,2,5690.971,14798.448115029763,0.38456539197647843
2025,강북구,수유1동,11305610,3,4871.104,15114.168085349464,0.3222872719486084
2025,강북구,수유1동,11305610,4,4629.631,15147.299131944445,0.30564069275138817
2025,강북구,수유1동,11305610,5,4183.886,15313.296325940859,0.27321916267710833
2022,강북구,수유2동,11305620,6,3912.033,18687.71186763889,0.2093371851892892
2022,강북구,수유2동,11305620,7,4842.607,18019.36339784946,0.2687446217205401
2022,강북구,수유2동,11305620,8,5620.016,17643.665587096773,0.31852882113737463
2022,강북구,수유2동,11305620,9,4571.481,17742.224904444443,0.2576610895544921
2022,강북구,수유2동,11305620,10,3767.371,17828.276461021505,0.21131436952061608
2022,강북구,수유2동,11305620,11,3801.866,17829.130303472222,0.21323900466752363
2022,강북구,수유2동,11305620,12,4248.142,18067.81654986559,0.23512204633445885
2023,강북구,수유2동,11305620,1,4978.648,18431.721240994622,0.27011302606545606
2023,강북구,수유2동,11305620,2,4772.196,17606.106626190474,0.2710534532888141
2023,강북구,수유2동,11305620,3,3823.378,17258.013575403224,0.22154218289926622
2023,강북구,수유2동,11305620,4,3801.979,17124.47722097222,0.22202014992572994
2023,강북구,수유2동,11305620,5,3594.202,16709.053438978495,0.21510506343917296
2023,강북구,수유2동,11305620,6,3915.724,16990.73594583333,0.23046229501084445
2023,강북구,수유2동,11305620,7,4659.379,17260.18340483871,0.26994956488665073
2023,강북구,수유2동,11305620,8,5727.002,16947.976218817206,0.337916570454079
2023,강북구,수유2동,11305620,9,5015.092,17180.680203194446,0.29190299456639274
2023,강북구,수유2동,11305620,10,3757.554,16899.035891666666,0.22235315813802983
2023,강북구,수유2동,11305620,11,3801.649,16916.01571236111,0.22473666758431807
2023,강북구,수유2동,11305620,12,4223.59,17262.717671505376,0.2446654159774419
2024,강북구,수유2동,11305620,1,4694.769,16993.149975403227,0.2762742050058673
2024,강북구,수유2동,11305620,2,4533.402,17241.599219252876,0.2629339623518081
2024,강북구,수유2동,11305620,3,3944.902,17038.017163709676,0.23153527561895468
2024,강북구,수유2동,11305620,4,3785.574,16951.651836944446,0.22331593619388268
2024,강북구,수유2동,11305620,5,3503.086,16853.800069758065,0.2078514035707489
2024,강북구,수유2동,11305620,6,3873.6,16661.287715833336,0.23249103347029362
2024,강북구,수유2동,11305620,7,4601.465,16486.83281827957,0.2790993910545501
2024,강북구,수유2동,11305620,8,5955.647,16247.6862952957,0.366553544409851
2024,강북구,수유2동,11305620,9,5647.747,16848.29637652778,0.3352117551699865
2024,강북구,수유2동,11305620,10,3999.991,16550.05286666667,0.24169052704697702
2024,강북구,수유2동,11305620,11,3665.141,16548.204777916664,0.2214826955061057
2024,강북구,수유2동,11305620,12,4065.81,16770.57623494624,0.2424371078870704
2025,강북구,수유2동,11305620,1,4687.225,17342.04767016129,0.270280943124429
2025,강북구,수유2동,11305620,2,4691.755,16936.959852529762,0.27701281935194666
2025,강북구,수유2동,11305620,3,3916.37,16779.303365456988,0.23340480320908344
2025,강북구,수유2동,11305620,4,3819.308,16005.808308333335,0.23862012629574594
2025,강북구,수유2동,11305620,5,3509.708,16524.15681532258,0.21239861369177426
2022,강북구,수유3동,11305630,6,7129.384,28304.843320833334,0.2518785890877032
2022,강북구,수유3동,11305630,7,8779.029,27965.232820564517,0.3139265478792743
2022,강북구,수유3동,11305630,8,10302.306,27686.63662244624,0.3721039193199678
2022,강북구,수유3동,11305630,9,8708.797,27739.118147361114,0.31395363593519604
2022,강북구,수유3동,11305630,10,6929.408,27664.972643279572,0.2504758666979309
2022,강북구,수유3동,11305630,11,6558.089,27704.291624583337,0.23671744034706504
2022,강북구,수유3동,11305630,12,7461.233,28254.83953938172,0.2640692044844389
2023,강북구,수유3동,11305630,1,9354.433,28232.308529704304,0.33133787094164974
2023,강북구,수유3동,11305630,2,8774.534,28317.036619494047,0.30986766439958
2023,강북구,수유3동,11305630,3,6875.883,27883.993451478495,0.2465888902163481
2023,강북구,수유3동,11305630,4,6644.069,28259.970219722225,0.23510530790875359
2023,강북구,수유3동,11305630,5,6296.213,28295.807456048387,0.2225139893879985
2023,강북구,수유3동,11305630,6,7191.398,27801.495552083332,0.25866946569574406
2023,강북구,수유3동,11305630,7,8600.78,27884.23097405914,0.3084460176793599
2023,강북구,수유3동,11305630,8,10421.062,27915.555276209678,0.3733066348453074
2023,강북구,수유3동,11305630,9,9569.843,28119.882016527776,0.34032301395771214
2023,강북구,수유3동,11305630,10,7084.335,27698.708643951613,0.2557640896210864
2023,강북구,수유3동,11305630,11,6569.981,28158.067872777778,0.23332499337966384
2023,강북구,수유3동,11305630,12,7601.886,28992.25857903226,0.26220399418960155
2024,강북구,수유3동,11305630,1,8671.004,28510.228722580643,0.30413659898604745
2024,강북구,수유3동,11305630,2,8521.412,27451.717473132183,0.31041453083364134
2024,강북구,수유3동,11305630,3,7096.951,27311.582477553762,0.2598513288577359
2024,강북구,수유3동,11305630,4,6754.657,26463.27429,0.2552464568812811
2024,강북구,수유3동,11305630,5,6293.292,25614.355499999998,0.24569394299224123
2024,강북구,수유3동,11305630,6,7169.817,25031.75723972222,0.2864288324361987
2024,강북구,수유3동,11305630,7,8709.403,24723.696349596776,0.35226945343640104
2024,강북구,수유3동,11305630,8,10811.403,24941.78648763441,0.43346546188101065
2024,강북구,수유3동,11305630,9,10762.153,24472.437426666667,0.4397662894123043
2024,강북구,수유3동,11305630,10,7689.272,24377.624361424732,0.31542335241523944
2024,강북구,수유3동,11305630,11,6475.47,24573.927039305556,0.2635097756106544
2024,강북구,수유3동,11305630,12,7245.858,24932.568757661295,0.29061818982344084
2025,강북구,수유3동,11305630,1,8692.88,24658.02579314516,0.3525375499613837
2025,강북구,수유3동,11305630,2,8840.628,24546.128500892857,0.36016384415482977
2025,강북구,수유3동,11305630,3,7319.522,24619.339390994624,0.29730781495613035
2025,강북구,수유3동,11305630,4,6824.844,24935.475261805554,0.2737001772913399
2025,강북구,수유3동,11305630,5,6331.11,24607.128581048386,0.2572876383828065
2022,강북구,우이동,11305645,6,3966.828,19420.988756805556,0.20425468804259173
2022,강북구,우이동,11305645,7,4881.487,19349.889116397848,0.2522746756136829
2022,강북구,우이동,11305645,8,5727.027,19004.94706263441,0.3013440122261586
2022,강북구,우이동,11305645,9,4703.449,18938.527818888888,0.24835346469269268
2022,강북구,우이동,11305645,10,3931.57,19130.552008064515,0.20551262704508685
2022,강북구,우이동,11305645,11,4061.091,18603.656438333335,0.218295312723149
2022,강북구,우이동,11305645,12,4675.093,18408.987706586024,0.25395709283500867
2023,강북구,우이동,11305645,1,5598.023,18245.6512297043,0.30681409665917003
2023,강북구,우이동,11305645,2,5288.486,18601.470738839285,0.28430472376347143
2023,강북구,우이동,11305645,3,4179.634,19081.123444489247,0.21904548818414074
2023,강북구,우이동,11305645,4,4022.969,19366.20255013889,0.20773143261228302
2023,강북구,우이동,11305645,5,3787.7,19325.46618561828,0.19599527191839486
2023,강북구,우이동,11305645,6,4074.311,19203.377384722222,0.2121663766937909
2023,강북구,우이동,11305645,7,4787.882,19146.656758333334,0.25006360433740665
2023,강북구,우이동,11305645,8,5892.488,19135.04110967742,0.3079422702164938
2023,강북구,우이동,11305645,9,5189.819,19064.94074513889,0.27221794546218464
2023,강북구,우이동,11305645,10,3958.839,18995.183299462366,0.20841278220842702
2023,강북구,우이동,11305645,11,4094.309,18400.29824625,0.22251318675415627
2023,강북구,우이동,11305645,12,4702.558,18455.151226344085,0.2548100496346658
2024,강북구,우이동,11305645,1,5281.531,17619.798448252688,0.29974979654343076
2024,강북구,우이동,11305645,2,5141.931,17965.195305028734,0.2862162594225009
2024,강북구,우이동,11305645,3,4421.906,18150.47240255376,0.24362484358136266
2024,강북구,우이동,11305645,4,4165.391,18003.619596805554,0.23136408640510708
2024,강북구,우이동,11305645,5,3777.105,18218.690924731185,0.20732032919405435
2024,강북구,우이동,11305645,6,4107.702,18357.247734861114,0.22376458929621118
2024,강북구,우이동,11305645,7,4824.147,17640.23293145161,0.2734741099364283
2024,강북구,우이동,11305645,8,6267.596,17784.31196814516,0.3524227426524214
2024,강북구,우이동,11305645,9,5943.114,17517.311090833333,0.339270905744774
2024,강북구,우이동,11305645,10,4439.815,17670.545330241937,0.25125512071218076
2024,강북구,우이동,11305645,11,4183.569,17367.715757222224,0.24088193625925142
2024,강북구,우이동,11305645,12,4894.75,17058.047636693547,0.2869466719902288
2025,강북구,우이동,11305645,1,5585.365,17158.96895873656,0.3255070286234295
2025,강북구,우이동,11305645,2,5613.265,16788.45223139881,0.334352739766071
2025,강북구,우이동,11305645,3,4624.808,17375.897119489247,0.2661622573036933
2025,강북구,우이동,11305645,4,4364.696,17113.47250125,0.2550444393843035
2025,강북구,우이동,11305645,5,3963.327,17196.59229905914,0.23047164991036287
2022,강북구,인수동,11305660,6,5552.737,28704.0526125,0.19344784079659547
2022,강북구,인수동,11305660,7,6866.355,28270.435328360218,0.24288112016130994
2022,강북구,인수동,11305660,8,7998.409,28091.284723252687,0.2847291990664735
2022,강북구,인수동,11305660,9,6559.517,27979.26380805555,0.23444208700414196
2022,강북구,인수동,11305660,10,5465.023,27782.860853897848,0.19670483283701415
2022,강북구,인수동,11305660,11,5634.961,27894.393695555555,0.2020105208774559
2022,강북구,인수동,11305660,12,6581.726,28186.141867607526,0.2335092908747452
2023,강북구,인수동,11305660,1,7753.023,28551.373526478495,0.27154641064150065
2023,강북구,인수동,11305660,2,7223.16,27975.46572351191,0.25819623778163997
2023,강북구,인수동,11305660,3,5860.764,27392.341708198925,0.2139562970713741
2023,강북구,인수동,11305660,4,5573.487,27020.44413,0.20626925942390126
2023,강북구,인수동,11305660,5,5215.289,26906.45072701613,0.1938304331891479
2023,강북구,인수동,11305660,6,5626.558,26494.90726486111,0.21236375518333014
2023,강북구,인수동,11305660,7,6719.596,26750.422522849465,0.25119588276634913
2023,강북구,인수동,11305660,8,8131.348,25725.35104341398,0.31608307254107343
2023,강북구,인수동,11305660,9,7119.412,26171.26197402778,0.2720316661483602
2023,강북구,인수동,11305660,10,5472.946,25655.214904838707,0.2133268429167504
2023,강북구,인수동,11305660,11,5587.744,25872.158089166667,0.21597517998855034
2023,강북구,인수동,11305660,12,6489.814,26152.966477553764,0.2481482934477049
2024,강북구,인수동,11305660,1,7217.038,25591.958520564516,0.2820041300942529
2024,강북구,인수동,11305660,2,6935.587,25635.166445833333,0.2705497159402018
2024,강북구,인수동,11305660,3,5942.401,25522.036480241935,0.23283412374245102
2024,강북구,인수동,11305660,4,5597.722,26260.122146388887,0.21316435501690004
2024,강북구,인수동,11305660,5,5029.098,26593.942850134412,0.18910689657192303
2024,강북구,인수동,11305660,6,5518.635,27008.273251388888,0.20433127836916443
2024,강북구,인수동,11305660,7,6678.594,26951.75632016129,0.2477980997106326
2024,강북구,인수동,11305660,8,8453.388,26157.378772983873,0.3231741251050321
2024,강북구,인수동,11305660,9,8094.101,26609.851590416667,0.30417685617288553
2024,강북구,인수동,11305660,10,5783.002,25958.071858198924,0.22278241741492924
2024,강북구,인수동,11305660,11,5365.0,25946.462246249997,0.20677192709674302
2024,강북구,인수동,11305660,12,6206.569,26300.47245860215,0.23598697741150293
2025,강북구,인수동,11305660,1,7215.116,26917.865582795697,0.2680419061387792
2025,강북구,인수동,11305660,2,7274.522,26657.606650446432,0.2728872886222955
2025,강북구,인수동,11305660,3,6093.898,26370.912909274193,0.23108407437259715
2025,강북구,인수동,11305660,4,5645.771,26032.30767236111,0.21687554830162828
2025,강북구,인수동,11305660,5,5080.498,25918.905895161293,0.19601514124670127
2022,도봉구,창제1동,11320511,6,4414.472,23214.307953055555,0.1901616885985589
2022,도봉구,창제1동,11320511,7,5346.444,22343.166844758063,0.23928765501987606
2022,도봉구,창제1동,11320511,8,6188.586,21312.08513965054,0.2903791890586205
2022,도봉구,창제1동,11320511,9,5187.359,21208.937549305556,0.24458363309999231
2022,도봉구,창제1동,11320511,10,4382.639,21115.883566935485,0.20755176955335172
2022,도봉구,창제1동,11320511,11,4395.815,20397.046946666665,0.21551232447981272
2022,도봉구,창제1동,11320511,12,4807.774,20647.29516626344,0.23285248558153235
2023,도봉구,창제1동,11320511,1,5589.368,20507.866527822578,0.2725475120689432
2023,도봉구,창제1동,11320511,2,5270.37,20248.262234821428,0.26028752190577703
